case_id,nifti_found,centerline_ok,landmarks_ok,coronary_plane_ok,lad_plane_ok,crown_ellipse_ok,lad_ellipse_ok,statistics_eligible,failure_reason
85.label,True,True,True,True,True,True,True,True,
86.label,True,True,True,True,True,True,True,True,
87.label,True,True,True,True,True,True,True,True,
88.label,True,True,True,True,True,True,True,True,
89.label,True,True,True,True,True,True,True,True,
90.label,True,True,True,True,True,True,True,True,
91.label,True,True,True,True,True,True,True,True,
92.label,True,True,True,True,True,True,True,True,
93.label,True,True,True,True,True,True,True,True,
94.label,True,True,True,True,True,True,True,True,
95.label,True,True,True,True,True,True,True,True,
96.label,True,True,True,True,True,True,True,True,
97.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
98.label,True,True,True,True,True,True,True,True,
99.label,True,True,True,True,True,True,True,True,
100.label,True,True,True,True,True,True,True,True,
101.label,True,True,True,True,True,True,True,True,
102.label,True,True,True,True,True,True,True,True,
103.label,True,True,True,True,True,True,True,True,
104.label,True,True,True,True,True,True,True,True,
105.label,True,True,True,True,True,True,True,True,
106.label,True,True,True,True,True,True,True,True,
107.label,True,True,True,True,True,True,True,True,
108.label,True,True,True,True,True,True,True,True,
109.label,True,True,True,True,True,True,True,True,
110.label,True,True,True,True,True,True,True,True,
111.label,True,True,True,True,True,True,True,True,
112.label,True,True,True,True,True,True,True,True,
113.label,True,True,True,True,True,True,True,True,
114.label,True,True,True,True,True,True,True,True,
115.label,True,True,True,True,True,True,True,True,
116.label,True,True,True,True,True,True,True,True,
117.label,True,True,True,True,True,True,True,True,
118.label,True,True,True,True,True,True,True,True,
119.label,True,True,True,True,True,True,True,True,
120.label,True,True,True,True,True,True,True,True,
121.label,True,True,True,True,True,True,True,True,
122.label,True,True,True,True,True,True,True,True,
123.label,True,True,True,True,True,True,True,True,
124.label,True,True,True,True,True,True,True,True,
125.label,True,True,True,True,True,True,True,True,
126.label,True,True,True,True,True,True,True,True,
127.label,True,True,True,True,True,True,True,True,
128.label,True,True,True,True,True,True,True,True,
129.label,True,True,True,True,True,True,True,True,
130.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
131.label,True,True,True,True,True,True,True,True,
132.label,True,True,True,True,True,True,True,True,
133.label,True,True,True,True,True,True,True,True,
134.label,True,True,True,True,True,True,True,True,
135.label,True,True,True,True,True,True,True,True,
136.label,True,True,True,True,True,True,True,True,
137.label,True,True,True,True,True,True,True,True,
138.label,True,True,True,True,True,True,True,True,
139.label,True,True,True,True,True,True,True,True,
140.label,True,True,True,True,True,True,True,True,
141.label,True,True,True,True,True,True,True,True,
142.label,True,True,True,True,True,True,True,True,
143.label,True,True,True,True,True,True,True,True,
144.label,True,True,True,True,True,True,True,True,
145.label,True,True,True,True,True,True,True,True,
146.label,True,True,True,True,True,True,True,True,
147.label,True,True,True,True,True,True,True,True,
148.label,True,True,True,True,True,True,True,True,
149.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
150.label,True,True,True,True,True,True,True,True,
151.label,True,True,True,True,True,True,True,True,
152.label,True,True,True,True,True,True,True,True,
153.label,True,True,True,True,True,True,True,True,
154.label,True,True,True,True,True,True,True,True,
155.label,True,True,True,True,True,True,True,True,
156.label,True,True,True,True,True,True,True,True,
157.label,True,True,True,True,True,True,True,True,
158.label,True,True,True,True,True,True,True,True,
159.label,True,True,True,True,True,True,True,True,
160.label,True,True,True,True,True,True,True,True,
161.label,True,True,True,True,True,True,True,True,
162.label,True,True,True,True,True,True,True,True,
163.label,True,True,True,True,True,True,True,True,
164.label,True,True,True,True,True,True,True,True,
165.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
166.label,True,True,True,True,True,True,True,True,
167.label,True,True,True,True,True,True,True,True,
168.label,True,True,True,True,True,True,True,True,
169.label,True,True,True,True,True,True,True,True,
170.label,True,True,True,True,True,True,True,True,
171.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
172.label,True,True,True,True,True,True,True,True,
173.label,True,True,True,True,True,True,True,True,
174.label,True,True,True,True,True,True,True,True,
175.label,True,True,True,True,True,True,True,True,
176.label,True,False,False,False,False,False,False,False,no bifurcation satisfies the existing stage-2 LCA selection thresholds
177.label,True,True,True,True,True,True,True,True,
178.label,True,True,True,True,True,True,True,True,
179.label,True,True,True,True,True,True,True,True,
180.label,True,True,True,True,True,True,True,True,
181.label,True,True,True,True,True,True,True,True,
182.label,True,True,True,True,True,True,True,True,
183.label,True,True,True,True,True,True,True,True,
184.label,True,True,True,True,True,True,True,True,
185.label,True,True,True,True,True,True,True,True,
186.label,True,True,True,True,True,True,True,True,
187.label,True,True,True,True,True,True,True,True,
188.label,True,True,True,True,True,True,True,True,
189.label,True,True,True,True,True,True,True,True,
190.label,True,True,True,True,True,True,True,True,
191.label,True,True,True,True,True,True,True,True,
192.label,True,True,True,True,True,True,True,True,
193.label,True,True,True,True,True,True,True,True,
194.label,True,True,True,True,True,True,True,True,
195.label,True,True,True,True,True,True,True,True,
196.label,True,True,True,True,True,True,True,True,
197.label,True,True,True,True,True,True,True,True,
198.label,True,True,True,True,True,True,True,True,
199.label,True,True,True,True,True,True,True,True,
200.label,True,True,True,True,True,True,True,True,
